date_time v002 v003 v004 v005 v012 v016 v017 v018 v019 v020 v021 v022 v029 v030 v035 v036 v037 v038 v044 v047 v048 v051 v052 v053 v061 v062 v063 v064 v070 v073 v074 v081 v082 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416252320 13 13 2499 2500 25 11 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 124.4 125 125 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80.2 80 65.2 
196992416252330 13 13 2499 2500 25 11 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 124.4 125 125 0 0 0 0 0 0 0 0 0 124.8 125 125 125 79.6 80 80.2 80 65.2 
196992416252340 13 13 2496 2500 0 10 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 124.4 125 124.5 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 79.6 80 80.2 80 65.2 
196992416252350 13 13 2497 2500 0 10 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80.2 80 65.2 
196992416252360 13 13 2498 2500 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 125.2 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80.2 80 65.2 
196992416252370 13 13 2498 2500 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80.2 80 65.2 
196992416252380 13 13 2498 2500 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 79.6 80 80.2 80 65.2 
196992416252390 13 13 2498 2500 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 125.2 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80.2 80 65.2 
196992416252400 13 13 2499 2500 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.4 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80 80 65.2 
196992416252410 13 13 2497 2500 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 125.2 125 124.6 125 79.6 80 80 80 65.2 
196992416252420 13 13 2498 2500 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 123.8 125 79.6 80 80 80 65.2 
196992416252430 13 13 2498 2500 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80 80 65.2 
196992416252440 13 13 2497 2500 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 125.2 125 125 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80 80 65.3 
196992416252450 13 13 2498 2500 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80 80 65.3 
196992416252460 13 13 2498 2500 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.4 125 125 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80 80 65.3 
196992416252470 13 13 2499 2500 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 125.2 125 124.6 125 79.6 80 80 80 65.3 
196992416252480 13 13 2498 2500 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 125.2 125 124.2 125 79.6 80 80 80 65.3 
196992416252490 13 13 2498 2500 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.2 125 79.6 80 80 80 65.3 
196992416252500 13 13 2499 2500 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 125.2 125 124.6 125 79.6 80 80 80 65.3 
196992416252510 13 13 2495 2500 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80 80 65.3 
