date_time v002 v003 v004 v005 v012 v016 v017 v018 v019 v020 v021 v022 v029 v030 v035 v036 v037 v038 v044 v047 v048 v051 v052 v053 v061 v062 v063 v064 v070 v073 v074 v081 v082 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416249610 20 20 1998 2000 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.9 80 82.3 80 65.2 
196992416249620 20 20 1995 2000 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.4 125 124.7 0 0 0 0 0 0 0 0 0 125.2 125 125 125 79.9 80 82.3 80 65.2 
196992416249630 20 20 1997 2000 0 11 0 0 0 0 0 0 0 0 0 0 0 5.1 0 0 0 129.3 0 125 0 0 4.4 44.9 0 0 0 0 0 135.1 0 124.2 900 79.9 80 82.3 80 65.2 
196992416249640 20 20 1998 2000 0 11 0 0 0 0 0 0 0 0 0 0 0 5.1 0 0 0 127.5 0 124.7 0 0 3.4 44.9 0 0 0 0 0 140.9 0 124.6 900 79.9 80 82.2 80 64.8 
196992416249650 20 20 2000 2000 0 12 0 0 0 0 0 0 0 0 0 0 0 5.1 0 0 0 126.2 0 124.7 0 0 2.5 44.9 0 0 0 0 0 89.6 0 124.6 900 79.9 80 82.2 80 64.8 
196992416249660 20 20 1997 2000 0 13 0 0 0 0 0 0 0 0 0 0 0 5.1 0 0 0 86 0 116.9 0 0 12.7 44.9 0 0 0 0 0 126.2 0 378.9 900 79.9 80 82.2 80 64.8 
196992416249670 20 20 1998 2000 0 11 0 0 0 0 0 0 0 0 0 0 2.9 5.1 0 0 0 43.2 0 108.6 0 0 28.4 44.9 0 0 0 0 0 33 0 641.3 900 79.9 80 82.2 80 64.8 
196992416249680 20 20 1996 2000 0 12 0 0 0 0 0 0 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.1 44.9 0 0 0 0 0 0 0 902.1 900 79.9 80 82.2 80 64.8 
196992416249690 20 20 1997 2000 0 12 0 0 0 0 0 0 0 0 0 0 4.9 5.1 0 0 0 0 0 99.8 0 0 44.5 44.9 0 0 0 0 0 0 0 900.9 900 79.9 80 82.2 80 64.8 
196992416249700 19.6 20 1997 2000 0 12 0 0 0 0 0 0 0 0 0 0 5.1 5.1 0 0 0 0 0 99.8 0 0 44.7 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.8 
196992416249710 19.6 20 1999 2000 0 19 0 0 0 0 0 0 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.8 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.8 
196992416249720 19.6 20 1997 2000 0 22 0 0 0 0 0 0 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.8 44.9 0 0 0 0 0 0 0 899.4 900 79.9 80 82.2 80 64.8 
196992416249730 19.6 20 1997 2000 0 3 0 0 0 0 0 0 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.8 44.9 0 0 0 0 0 0 0 899.4 900 79.9 80 82.2 80 64.8 
196992416249740 19.6 20 1998 2000 0 0 0 0 0 0 0 0 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.8 44.9 0 0 0 0 0 0 0 899.4 900 79.9 80 82.2 80 64.8 
196992416249750 22 20 1999 2000 0 0 0 0 0 0 0 0 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.8 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.8 
196992416249760 22 20 1998 2000 0 8 0 0 0 0 0 0 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.8 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.8 
196992416249770 22 20 1997 2000 0 30 0 0 0 0 0 0 0 0 0 0 5 5.1 0 0 0 0 0 100.1 0 0 44.8 44.9 0 0 0 0 0 0 0 900.6 900 79.9 80 82.2 80 64.8 
196992416249780 22 20 1998 2000 0 14 0 0 0 0 0 0 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.8 44.9 0 0 0 0 0 0 0 899.4 900 79.9 80 82.2 80 64.8 
196992416249790 22 20 1997 2000 0 8 0 0 0 0 0 0 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.8 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.8 
196992416249800 23.1 20 1999 2000 0 10 0 0 0 0 0 0 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.9 44.9 0 0 0 0 0 0 0 899.4 900 79.9 80 82.2 80 64.8 
