date_time v002 v003 v004 v005 v012 v016 v017 v018 v019 v020 v021 v022 v029 v030 v035 v036 v037 v038 v044 v047 v048 v051 v052 v053 v061 v062 v063 v064 v070 v073 v074 v081 v082 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416248600 19.9 20 0 0 0 0 0 0 0 0 0 0 2.5 2.5 2.2 2.3 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80.2 80 82.4 80 65.2 
196992416248610 19.9 20 0 0 0 0 0 0 0 0 0 0 2.4 2.5 2.2 2.3 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 125 125 80.1 80 82.4 80 65.2 
196992416248620 19.9 20 0 0 0 0 0 0 0 0 0 0 2.4 0 2.2 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.2 125 80.1 80 82.4 80 65.2 
196992416248630 19.9 20 0 0 0 0 0 0 0 0 0 0 2.4 0 2.2 0 0 0 0 0 0 124.4 125 124.7 0 0 0 0 0 0 0 0 0 125.2 125 124.6 125 80.1 80 82.4 80 65.2 
196992416248640 19.9 20 0 0 0 0 0 0 0 0 0 0 2.4 0 2.2 0 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80.1 80 82.4 80 64.9 
196992416248650 19.9 20 0 0 0 0 0 0 0 0 0 0 1.9 0 1.6 0 0 0 0 0 0 124.4 125 124.7 0 0 0 0 0 0 0 0 0 125.2 125 124.6 125 80.1 80 82.4 80 64.9 
196992416248660 19.9 20 0 0 0 0 0 0 0 0 0 0 1.5 0 1.1 0 0 0 0 0 0 125.2 125 125 0 0 0 0 0 0 0 0 0 125.2 125 124.6 125 80.1 80 82.4 80 64.9 
196992416248670 19.9 20 0 0 0 0 0 0 0 0 0 0 1.1 0 0.1 0 0 0 0 0 0 125.2 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.1 80 82.4 80 64.9 
196992416248680 19.9 20 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80.1 80 82.4 80 64.9 
196992416248690 19.9 20 0 0 0 0 0 0 0 0 0 0 0.3 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.4 125 125 125 80.1 80 82.4 80 64.9 
196992416248700 20 20 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 124.4 125 124.7 0 0 0 0 0 0 0 0 0 125.2 125 124.2 125 80.1 80 82.4 80 64.9 
196992416248710 20 20 0 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.1 80 82.4 80 64.9 
196992416248720 20 20 0 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80.1 80 82.5 80 64.9 
196992416248730 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 125.2 125 124.6 125 80.1 80 82.5 80 64.9 
196992416248740 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80.1 80 82.5 80 65 
196992416248750 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80.1 80 82.5 80 65 
196992416248760 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 125.7 125 125 0 0 0 0 0 0 0 0 0 125.2 125 124.6 125 80.1 80 82.5 80 65 
196992416248770 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.1 80 82.5 80 65 
196992416248780 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 124.4 125 125 125 80.1 80 82.5 80 65 
196992416248790 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.1 80 82.5 80 65 
196992416248800 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.1 80 82.5 80 65 
196992416248810 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.1 80 82.5 80 65 
196992416248820 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.1 80 82.5 80 65 
196992416248830 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.1 80 82.5 80 65 
