date_time v002 v003 v004 v005 v012 v016 v017 v022 v035 v036 v044 v047 v048 v051 v052 v053 v070 v073 v074 v081 v082 v083 v084 v087 v088 v089 v090 v091 
196992416253070 12.7 13 2497 2500 200 0 0 213 2.3 2.3 15 11 11 70.8 71 0 12.7 84.9 85 59 59 399.1 399 79.6 80 79.5 80 65.2 
196992416253080 12.7 13 2501 2500 200 0 0 214 2.2 2.3 15 11 11 70.8 71 0.2 12.7 84.9 85 58.7 59 399.1 399 79.6 80 79.5 80 65.2 
196992416253090 12.7 13 2497 2500 200 0 0 213 2.2 2.3 15 11 11 70.8 71 0 12.7 85 85 58.7 59 398.3 399 79.7 80 79.5 80 65.2 
196992416253100 12.7 13 2498 2500 200 1 0 213 2.2 2.3 15 11 11 70.8 71 0 12.7 84.9 85 59 59 398.3 399 79.7 80 79.5 80 65.2 
196992416253110 12.7 13 2496 2500 200 1 0 214 2.2 2.3 15 11 11 70.8 71 0 12.7 85 85 58.7 59 398.3 399 79.7 80 79.5 80 65.2 
196992416253120 12.8 13 2497 2500 200 1 0 213 2.2 2.3 15 11 11 71.3 71 0.2 12.7 84.9 85 59 59 398.7 399 79.7 80 79.5 80 65.2 
196992416253130 12.8 13 2497 2500 200 0 0 214 2.3 2.3 15 11 11 70.8 71 0 12.7 84.9 85 59 59 398.3 399 79.7 80 79.5 80 65.2 
196992416253140 12.8 13 2498 2500 200 1 0 214 2.2 2.3 15 11 11 70.8 71 0.2 12.7 84.9 85 58.7 59 398.7 399 79.7 80 79.5 80 65.7 
196992416253150 12.8 13 2498 2500 200 0 0 214 2.2 2.3 15 11 11 70.8 71 0 12.7 84.9 85 58.7 59 398.7 399 79.7 80 79.5 80 65.7 
196992416253160 12.8 13 2497 2500 200 0 0 214 2.2 2.3 15 11 11 70.8 71 0 12.7 84.9 85 58.7 59 398.3 399 79.7 80 79.5 80 65.7 
196992416253170 12.9 13 2498 2500 200 0 0 214 2.3 2.3 15 11 11 70.4 71 0.2 12.7 84.9 85 58.4 59 398.3 399 79.7 80 79.5 80 65.7 
196992416253180 12.9 13 2497 2500 200 1 0 214 2.2 2.3 15 11 11 70.8 71 0.2 12.7 85 85 58.7 59 398.3 399 79.7 80 79.5 80 65.7 
196992416253190 12.9 13 2501 2500 200 0 0 213 2.2 2.3 15 11 11 70.4 71 0.2 12.7 84.9 85 58.7 59 399.1 399 79.7 80 79.5 80 65.7 
196992416253200 12.9 13 2497 2500 200 2 0 214 2.3 2.3 15 11 11 71.3 71 0 12.7 84.9 85 59 59 398.7 399 79.7 80 79.5 80 65.7 
196992416253210 12.9 13 2497 2500 200 0 0 213 2.2 2.3 15 11 11 70.4 71 0.2 12.7 85 85 58.7 59 398.3 399 79.8 80 79.4 80 65.7 
196992416253220 13 13 2496 2500 200 0 0 213 2.2 2.3 15 11 11 70.8 71 0 12.7 84.9 85 58.7 59 398.3 399 79.8 80 79.4 80 65.7 
196992416253230 13 13 2499 2500 200 1 0 213 2.2 2.3 15 11 11 70.8 71 0.2 12.7 84.9 85 58.7 59 398.7 399 79.8 80 79.4 80 65.7 
196992416253240 13 13 2499 2500 200 1 0 213 2.2 2.3 15 11 11 70.4 71 0.2 12.7 84.9 85 58.7 59 399.1 399 79.8 80 79.4 80 65.4 
196992416253250 13 13 2497 2500 200 2 0 213 2.2 2.3 15 11 11 70.4 71 0 12.7 84.9 85 58.7 59 398.7 399 79.8 80 79.4 80 65.4 
196992416253260 13 13 2499 2500 200 2 0 212 2.2 2.3 15 11 11 71.3 71 0.2 12.7 84.9 85 58.7 59 398.7 399 79.8 80 79.4 80 65.4 
196992416253270 13.1 13 2497 2500 200 0 0 212 2.2 2.3 15 11 11 70.8 71 0.2 12.7 84.9 85 58.7 59 398.7 399 79.8 80 79.4 80 65.4 
196992416253280 13.1 13 2498 2500 200 0 0 212 2.2 2.3 15 11 11 70.8 71 0 12.7 84.9 85 58.7 59 398.7 399 79.8 80 79.4 80 65.4 
196992416253290 13.1 13 2497 2500 200 1 0 212 2.2 2.3 15 11 11 70.8 71 0.2 12.7 84.9 85 58.7 59 398.3 399 79.8 80 79.4 80 65.4 
196992416253300 13.1 13 2495 2500 200 0 0 212 2.2 2.3 15 11 11 70.8 71 0 12.7 85 85 58.7 59 398.3 399 79.8 80 79.4 80 65.4 
196992416253310 13.1 13 2499 2500 200 2 0 212 2.3 2.3 15 11 11 70.8 71 0.2 12.7 84.9 85 58.7 59 398.3 399 79.8 80 79.4 80 65.4 
