date_time v002 v003 v004 v005 v012 v016 v022 v051 v052 v053 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416249410 20.1 20 1999 2000 25 12 19 125.2 125 124.7 124.8 125 124.6 125 79.9 80 82.3 80 64.9 
196992416249420 20.1 20 1997 2000 25 9 20 125.2 125 124.7 125.2 125 124.6 125 79.9 80 82.3 80 64.9 
196992416249430 20.1 20 1997 2000 0 9 19 124.4 125 124.5 124.8 125 124.6 125 79.9 80 82.3 80 64.9 
196992416249440 20.1 20 2000 2000 0 10 0 124.8 125 124.7 124.8 125 124.6 125 79.9 80 82.3 80 64.8 
196992416249450 20 20 1998 2000 0 8 0 124.8 125 125 124.8 125 124.6 125 79.9 80 82.3 80 64.8 
196992416249460 20 20 1997 2000 0 10 0 125.2 125 124.7 124.8 125 124.6 125 79.9 80 82.3 80 64.8 
196992416249470 20 20 1996 2000 0 8 0 124.8 125 124.5 125.2 125 124.6 125 79.9 80 82.3 80 64.8 
196992416249480 20 20 2001 2000 0 10 0 124.8 125 124.7 124.8 125 124.6 125 79.9 80 82.3 80 64.8 
196992416249490 20 20 1998 2000 0 11 0 124.8 125 124.7 125.2 125 124.6 125 79.9 80 82.3 80 64.8 
196992416249500 20 20 1999 2000 0 10 0 124.8 125 124.7 124.8 125 124.6 125 79.9 80 82.3 80 64.8 
196992416249510 20 20 1997 2000 0 10 0 124.8 125 124.7 124.4 125 125 125 79.9 80 82.3 80 64.8 
196992416249520 20 20 2000 2000 0 9 0 125.2 125 124.5 125.2 125 124.6 125 79.9 80 82.3 80 64.8 
196992416249530 20 20 1996 2000 0 10 0 124.8 125 124.7 125.2 125 124.6 125 79.9 80 82.3 80 64.8 
196992416249540 20 20 1998 2000 0 11 0 125.2 125 124.7 124.4 125 124.6 125 79.9 80 82.3 80 65.2 
196992416249550 20 20 1998 2000 0 10 0 124.4 125 125 124.8 125 124.6 125 79.9 80 82.3 80 65.2 
196992416249560 20 20 1998 2000 0 11 0 124.4 125 124.7 124.4 125 124.6 125 79.9 80 82.3 80 65.2 
196992416249570 20 20 1996 2000 0 13 0 124.4 125 124.7 124.8 125 124.6 125 79.9 80 82.3 80 65.2 
196992416249580 20 20 1997 2000 0 13 0 124.8 125 124.7 125.2 125 124.6 125 79.9 80 82.3 80 65.2 
196992416249590 20 20 1998 2000 0 8 0 124.8 125 124.7 124.4 125 124.6 125 79.9 80 82.3 80 65.2 
196992416249600 20 20 1999 2000 0 9 0 125.2 125 124.7 124.4 125 124.2 125 79.9 80 82.3 80 65.2 
