date_time v002 v003 v004 v005 v012 v016 v017 v018 v019 v020 v021 v022 v029 v030 v035 v036 v037 v038 v044 v047 v048 v051 v052 v053 v061 v062 v063 v064 v070 v073 v074 v081 v082 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416249810 23.1 20 1998 2000 0 11 0 0 0 0 0 0 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.8 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.8 
196992416249820 23.1 20 1997 2000 0 6 0 0 0 0 0 0 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.9 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.8 
196992416249830 23.1 20 1998 2000 100 3 514 0 0 0 0 6 0 0 0 0 5 5.1 0 0 0 0 0 99.6 0 0 44.8 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.8 
196992416249840 23.1 20 2001 2000 100 1 508 0 0 0 0 6 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.8 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.4 
196992416249850 22.9 20 1998 2000 100 0 495 0 0 0 0 8 0 0 0 0 5 5.1 0 0 0 0 0 99.6 0 0 44.8 44.9 0 0 0 0 0 0 0 900.6 900 79.9 80 82.2 80 64.4 
196992416249860 22.9 20 1997 2000 100 0 490 0 0 0 0 10 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.8 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.4 
196992416249870 22.9 20 1997 2000 100 0 447 0 0 0 0 18 0 0 0 0 5 5.1 0 0 0 0 0 99.6 0 0 44.8 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.4 
196992416249880 22.9 20 1998 2000 100 1 218 0 0 0 0 59 0 0 0 0 5 5.1 0 0 0 0 0 100.1 0 0 44.8 44.9 0 0 0 0 0 0 0 899.4 900 79.9 80 82.2 80 64.4 
196992416249890 22.9 20 1998 2000 100 1 32 0 0 0 0 96 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.8 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.4 
196992416249900 22.9 20 2000 2000 100 4 4 0 0 0 0 97 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.9 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.4 
196992416249910 22.9 20 1999 2000 100 4 0 0 0 0 0 95 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.8 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.4 
196992416249920 22.9 20 1997 2000 100 0 0 0 0 0 0 92 0 0 0 0 5 5.1 0 0 0 0 0 99.8 0 0 44.8 44.9 0 0 0 0 0 0 0 899.8 900 79.9 80 82.2 80 64.4 
