date_time v002 v003 v004 v005 v012 v016 v017 v022 v037 v038 v053 v063 v064 v085 v086 v087 v088 v089 v090 v091 
196992416249950 20.4 20 1996 2000 100 0 0 89 5 5.1 99.8 44.8 44.9 899.4 900 79.9 80 82.2 80 64.3 
196992416249960 20.4 20 1997 2000 100 0 0 89 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 82.2 80 64.3 
196992416249970 20.4 20 1999 2000 100 0 0 89 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 82.2 80 64.3 
196992416249980 20.4 20 1999 2000 100 0 0 90 5 5.1 100.1 44.8 44.9 899.8 900 79.9 80 82.2 80 64.3 
196992416249990 20.4 20 1997 2000 100 0 0 91 5 5.1 99.6 44.8 44.9 899.8 900 79.8 80 82 80 64.3 
196992416250000 20 20 1997 2000 100 0 0 92 5 5.1 99.6 44.8 44.9 899.4 900 79.8 80 82 80 64.3 
196992416250010 20 20 1998 2000 100 0 0 92 5 5.1 99.8 44.8 44.9 899.8 900 79.8 80 82 80 64.3 
196992416250020 20 20 1999 2000 100 1 0 92 5 5.1 99.6 44.8 44.9 899.8 900 79.8 80 82 80 64.3 
196992416250030 20 20 1998 2000 100 1 0 93 5 5.1 99.8 44.9 44.9 899.8 900 79.8 80 82 80 64.3 
196992416250040 20 20 1997 2000 100 0 0 94 5 5.1 99.8 44.8 44.9 899.8 900 79.8 80 82 80 64.7 
196992416250050 20.1 20 1997 2000 100 2 0 95 5 5.1 100.1 44.8 44.9 899.8 900 79.8 80 82 80 64.7 
196992416250060 20.1 20 1998 2000 100 0 0 95 5 5.1 99.8 44.8 44.9 899.8 900 79.8 80 82 80 64.7 
196992416250070 20.1 20 1997 2000 100 0 0 95 5 5.1 99.8 44.8 44.9 899.8 900 79.8 80 82 80 64.7 
196992416250080 20.1 20 2000 2000 100 0 0 94 5 5.1 99.8 44.9 44.9 899.4 900 79.8 80 82 80 64.7 
196992416250090 20.1 20 1998 2000 100 0 0 94 5 5.1 99.6 44.8 44.9 899.8 900 79.8 80 82 80 64.7 
196992416250100 20.1 20 1999 2000 100 1 0 95 5 5.1 99.8 44.8 44.9 900.6 900 79.9 80 82 80 64.7 
196992416250110 20.1 20 1997 2000 100 2 0 95 5 5.1 100.1 44.9 44.9 899.8 900 79.9 80 82 80 64.7 
196992416250120 20.1 20 1996 2000 100 1 0 95 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 82 80 64.7 
196992416250130 20.1 20 1998 2000 100 0 0 95 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 82 80 64.7 
196992416250140 20.1 20 1998 2000 100 0 0 95 5 5.1 99.8 44.9 44.9 899.4 900 79.9 80 82 80 64.7 
196992416250150 20 20 1996 2000 100 0 0 96 5 5.1 99.6 44.8 44.9 899.4 900 79.9 80 82 80 64.7 
196992416250160 20 20 1996 2000 100 1 0 95 5 5.1 99.6 44.8 44.9 899.8 900 79.9 80 82 80 64.7 
196992416250170 20 20 1996 2000 100 0 0 95 5 5.1 99.6 44.8 44.9 899.8 900 79.9 80 82 80 64.7 
196992416250180 20 20 1998 2000 100 1 0 96 5 5.1 99.8 44.9 44.9 899.4 900 79.9 80 82 80 64.7 
196992416250190 20 20 1997 2000 100 0 0 96 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 82 80 64.7 
196992416250200 19.9 20 1999 2000 100 0 0 96 5 5.1 99.8 44.8 44.9 900.6 900 79.9 80 82 80 64.7 
196992416250210 19.9 20 1996 2000 100 1 0 96 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 82 80 64.7 
196992416250220 19.9 20 1996 2000 100 1 0 96 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 81.9 80 64.7 
196992416250230 19.9 20 1999 2000 100 1 0 97 5 5.1 99.8 44.8 44.9 899.4 900 79.9 80 81.9 80 64.7 
196992416250240 19.9 20 1997 2000 100 2 0 97 5 5.1 99.8 44.9 44.9 899.4 900 79.9 80 81.9 80 65 
196992416250250 19.9 20 1998 2000 100 1 0 97 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 81.9 80 65 
196992416250260 19.9 20 2000 2000 100 1 0 96 5 5.1 99.8 44.8 44.9 900.6 900 79.9 80 81.9 80 65 
196992416250270 19.9 20 1998 2000 100 2 0 97 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 81.9 80 65 
196992416250280 19.9 20 1996 2000 100 1 0 96 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 81.9 80 65 
196992416250290 19.9 20 1997 2000 100 0 0 96 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 81.9 80 65 
196992416250300 19.9 20 1999 2000 100 1 0 96 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 81.9 80 65 
196992416250310 19.9 20 1998 2000 100 2 0 96 5 5.1 99.8 44.8 44.9 899.4 900 79.9 80 81.9 80 65 
196992416250320 19.9 20 1995 2000 100 0 0 97 5 5.1 99.6 44.8 44.9 899.8 900 79.9 80 81.9 80 65 
196992416250330 19.9 20 1998 2000 100 1 0 96 5 5.1 99.8 44.8 44.9 899.4 900 79.8 80 81.8 80 65 
196992416250340 19.9 20 1997 2000 100 1 0 96 5 5.1 99.8 44.8 44.9 900.6 900 79.8 80 81.8 80 65.2 
196992416250350 19.9 20 2001 2000 100 1 0 96 5 5.1 99.8 44.8 44.9 899.4 900 79.8 80 81.8 80 65.2 
196992416250360 19.9 20 1998 2000 100 0 0 96 5 5.1 99.8 44.8 44.9 899.8 900 79.8 80 81.8 80 65.2 
196992416250370 19.9 20 1998 2000 100 2 0 96 5 5.1 99.8 44.8 44.9 900.6 900 79.8 80 81.8 80 65.2 
