date_time v002 v003 v004 v005 v012 v016 v017 v022 v037 v038 v053 v063 v064 v085 v086 v087 v088 v089 v090 v091 
196992416249810 23.1 20 1998 2000 0 11 0 0 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 82.2 80 64.8 
196992416249820 23.1 20 1997 2000 0 6 0 0 5 5.1 99.8 44.9 44.9 899.8 900 79.9 80 82.2 80 64.8 
196992416249830 23.1 20 1998 2000 100 3 514 6 5 5.1 99.6 44.8 44.9 899.8 900 79.9 80 82.2 80 64.8 
196992416249840 23.1 20 2001 2000 100 1 508 6 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 82.2 80 64.4 
196992416249850 22.9 20 1998 2000 100 0 495 8 5 5.1 99.6 44.8 44.9 900.6 900 79.9 80 82.2 80 64.4 
196992416249860 22.9 20 1997 2000 100 0 490 10 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 82.2 80 64.4 
196992416249870 22.9 20 1997 2000 100 0 447 18 5 5.1 99.6 44.8 44.9 899.8 900 79.9 80 82.2 80 64.4 
196992416249880 22.9 20 1998 2000 100 1 218 59 5 5.1 100.1 44.8 44.9 899.4 900 79.9 80 82.2 80 64.4 
196992416249890 22.9 20 1998 2000 100 1 32 96 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 82.2 80 64.4 
196992416249900 22.9 20 2000 2000 100 4 4 97 5 5.1 99.8 44.9 44.9 899.8 900 79.9 80 82.2 80 64.4 
196992416249910 22.9 20 1999 2000 100 4 0 95 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 82.2 80 64.4 
196992416249920 22.9 20 1997 2000 100 0 0 92 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 82.2 80 64.4 
196992416249930 22.9 20 1996 2000 100 0 0 90 5 5.1 99.8 44.8 44.9 899.4 900 79.9 80 82.2 80 64.4 
196992416249940 22.9 20 1996 2000 100 0 0 89 5 5.1 99.8 44.8 44.9 899.8 900 79.9 80 82.2 80 64.3 
