date_time v002 v003 v004 v005 v012 v016 v017 v018 v019 v020 v021 v022 v029 v030 v035 v036 v037 v038 v044 v047 v048 v051 v052 v053 v061 v062 v063 v064 v070 v073 v074 v081 v082 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416247910 0.8 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 80.2 80 81.7 80 65 
196992416247920 0.8 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 80.2 80 81.9 80 65 
196992416247930 0.8 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 80.2 80 81.9 80 65 
196992416247940 0.8 20 0 0 0 0 0 0 0 0 0 0 0 2.5 0.1 2.3 0 0 0 0 0 112.3 125 0 0 0 0 0 0 0 0 0 0 100.3 125 -1.2 125 80.2 80 81.9 80 64.9 
196992416247950 0.5 20 0 0 0 0 0 0 0 0 0 0 0.2 2.5 0 2.3 0 0 0 0 0 26.3 125 0.2 0 0 0 0 0 0 0 0 0 23.6 125 0 125 80.2 80 81.9 80 64.9 
196992416247960 0.5 20 0 0 0 0 0 0 0 0 0 0 0.1 2.5 0 2.3 0 0 0 0 0 4.4 125 0.2 0 0 0 0 0 0 0 0 0 5.3 125 0 125 80.2 80 81.9 80 64.9 
196992416247970 0.5 20 0 0 0 0 0 0 0 0 0 0 0.4 2.5 0.1 2.3 0 0 0 0 0 0 125 2.7 0 0 0 0 0 0 0 0 0 5.3 125 0 125 80.2 80 81.9 80 64.9 
196992416247980 0.5 20 0 0 0 0 0 0 0 0 0 0 1.4 2.5 1.2 2.3 0 0 0 0 0 66.8 125 76.4 0 0 0 0 0 0 0 0 0 64.6 125 75.7 125 80.2 80 81.9 80 64.9 
196992416247990 0.5 20 0 0 0 0 0 0 0 0 0 0 2.3 2.5 2.1 2.3 0 0 0 0 0 116.8 125 121.7 0 0 0 0 0 0 0 0 0 113.6 125 121.1 125 80.2 80 81.9 80 64.9 
196992416248000 1.5 20 0 0 0 0 0 0 0 0 0 0 2.4 2.5 2.2 2.3 0 0 0 0 0 121.3 125 123.2 0 0 0 0 0 0 0 0 0 119.5 125 122.7 125 80.2 80 81.9 80 64.9 
196992416248010 1.5 20 0 0 0 0 0 0 0 0 0 0 2.4 2.5 2.2 2.3 0 0 0 0 0 123 125 124.2 0 0 0 0 0 0 0 0 0 122.1 125 124.2 125 80.2 80 81.9 80 64.9 
196992416248020 1.5 20 0 0 0 0 0 0 0 0 0 0 2.4 2.5 2.2 2.3 0 0 0 0 0 123.9 125 124.7 0 0 0 0 0 0 0 0 0 123 125 124.6 125 80.2 80 81.9 80 64.9 
196992416248030 1.5 20 0 0 0 0 0 0 0 0 0 0 2.4 2.5 2.2 2.3 0 0 0 0 0 123.9 125 124.5 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80.1 80 82 80 64.9 
196992416248040 1.5 20 0 0 0 0 0 0 0 0 0 0 2.4 2.5 2.2 2.3 0 0 0 0 0 124.4 125 125 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80.1 80 82 80 64.9 
196992416248050 9.7 20 0 0 0 0 0 0 0 0 0 0 2.4 2.5 2.2 2.3 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80.1 80 82 80 64.9 
196992416248060 9.7 20 0 0 0 0 0 0 0 0 0 0 2.4 2.5 2.2 2.3 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 124.8 125 125 125 80.1 80 82 80 64.9 
