date_time v002 v003 v004 v005 v012 v016 v017 v018 v019 v020 v021 v022 v029 v030 v035 v036 v037 v038 v044 v047 v048 v051 v052 v053 v061 v062 v063 v064 v070 v073 v074 v081 v082 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416251380 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 79.7 80 80.9 80 64.8 
196992416251390 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 79.7 80 80.9 80 64.8 
196992416251400 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 79.7 80 80.9 80 64.8 
196992416251410 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53.5 125 28.6 0 0 0 0 0 0 0 0 0 32 125 116.9 125 79.7 80 80.9 80 64.8 
196992416251420 1.3 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.4 125 10.2 0 0 0 0 0 0 0 0 0 2.6 125 47.2 125 79.7 80 80.9 80 64.8 
196992416251430 1.3 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 125 2.7 0 0 0 0 0 0 0 0 0 0 125 14.9 125 79.7 80 80.9 80 64.8 
196992416251440 1.3 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 125 0 0 0 0 0 0 0 0 0 0 0 125 0 125 79.7 80 80.9 80 64.8 
196992416251450 1.3 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 69.5 125 74.9 0 0 0 0 0 0 0 0 0 77.1 125 54.2 125 79.7 80 80.9 80 64.8 
196992416251460 1.3 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 117.7 125 121.2 0 0 0 0 0 0 0 0 0 119.9 125 117.6 125 79.7 80 80.9 80 64.8 
196992416251470 10.8 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 121.7 125 122.9 0 0 0 0 0 0 0 0 0 121.7 125 121.5 125 79.7 80 80.9 80 64.8 
