date_time v002 v003 v004 v005 v012 v016 v017 v018 v019 v020 v021 v022 v029 v030 v035 v036 v037 v038 v044 v047 v048 v051 v052 v053 v061 v062 v063 v064 v070 v073 v074 v081 v082 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416255170 100 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 125.2 125 124.6 125 80.3 80 80.9 80 64.3 
196992416255180 100 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80.3 80 80.9 80 64.3 
196992416255190 100 100 0 0 25 0 68 0 0 0 0 134 0 0 0 0 0 0 0 0 0 124.4 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.3 80 80.9 80 64.3 
196992416255200 100 100 0 0 25 0 48 0 0 0 0 186 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80.3 80 80.9 80 64.3 
196992416255210 100 100 0 0 25 0 32 0 0 0 0 219 0 0 0 0 0 0 0 0 0 124.4 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.3 80 80.9 80 64.3 
196992416255220 100.3 100 0 0 25 0 19 0 0 0 0 232 0 0 0 0 0 0 0 0 0 124.4 125 124.7 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80.3 80 80.9 80 64.3 
196992416255230 100.3 100 0 0 25 0 5 0 0 0 0 266 0 0 0 0 0 0 0 0 0 124.4 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 124.2 125 80.3 80 80.9 80 64.3 
196992416255240 100.3 100 0 0 25 0 0 0 0 0 0 275 0 0 0 0 0 0 0 0 0 124.4 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.3 80 80.9 80 64.2 
196992416255250 100.3 100 0 0 25 0 0 0 0 0 0 275 0 0 0 0 0 0 0 0 0 124.4 125 125 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.3 80 80.9 80 64.2 
196992416255260 100.3 100 0 0 25 0 0 0 0 0 0 276 0 0 0 0 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.3 80 80.9 80 64.2 
196992416255270 99.9 100 0 0 25 0 0 0 0 0 0 276 0 0 0 0 0 0 0 0 0 125.2 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.2 125 80.3 80 80.9 80 64.2 
196992416255280 99.9 100 0 0 25 0 0 0 0 0 0 277 0 0 0 0 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80.4 80 81.1 80 64.2 
196992416255290 99.9 100 0 0 25 0 0 0 0 0 0 277 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.4 80 81.1 80 64.2 
196992416255300 99.9 100 0 0 25 0 0 0 0 0 0 277 0 0 0 0 0 0 0 0 0 125.2 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80.4 80 81.1 80 64.2 
196992416255310 99.9 100 0 0 25 0 0 0 0 0 0 278 0 0 0 0 0 0 0 0 0 125.2 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 124.2 125 80.4 80 81.1 80 64.2 
