date_time v002 v003 v004 v012 v016 v018 v020 v022 v029 v030 v047 v048 v051 v052 v053 v061 v062 v081 v082 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416265150 100 100 1496 200 22 200 25 812 4.6 4.7 208 208 259.5 260 0.2 13.3 13.3 592.2 592 739.5 740 0 0 80.1 80 82.3 80 64 
196992416265160 100 100 1475 200 0 200 25 818 4.6 4.7 208 208 259.5 260 0.2 13.3 13.3 591.6 592 739.5 740 0 0 80.1 80 82.3 80 64 
196992416265170 89.5 100 217 0 0 0 0 821 4.6 4.7 207.9 208 259.5 260 0.2 13.3 13.3 591.9 592 739.5 740 0 0 80.2 80 82.3 80 64 
196992416265180 89.5 100 0 0 0 0 0 743 4.6 0 207.9 0 260 0 0.2 13.3 0 591.9 0 739.9 0 0 0 80.2 80 82.3 80 64 
196992416265190 89.5 100 0 0 0 0 0 743 4.6 0 207.7 0 258.6 0 0.2 13.3 0 584.9 0 739.1 0 0 0 80.2 80 82.3 80 64 
196992416265200 89.5 100 0 0 0 0 0 0 4.6 0 207.4 0 259.1 0 0.2 13.2 0 567 0 738.6 0 0 0 80.2 80 82.3 80 64 
196992416265210 89.5 100 0 0 0 0 0 0 4.6 0 207.1 0 203.8 0 0 13.3 0 380.5 0 381.3 0 0 0 80.2 80 82.3 80 64 
196992416265220 105.4 100 0 0 0 0 0 0 3.6 0 135.4 0 105.2 0 57.5 10.3 0 56.8 0 115.9 0 79.9 750 80.2 80 82.3 80 64 
196992416265230 105.4 200 0 0 0 0 0 0 2.8 0 84.9 0 102.5 0 25.2 8 0 0 0 10.2 0 32.9 750 80.2 80 82.3 80 64 
196992416265240 105.4 200 0 0 0 0 0 0 1 0 0.1 0 0 0 6.7 2.7 0 0 0 0 0 8.6 750 80.2 80 82.3 80 63.7 
196992416265250 105.4 200 0 0 0 0 0 0 0.7 0 0 0 0 0 0.5 2 0 0 0 0 0 0.4 750 80.2 80 82.3 80 63.7 
196992416265260 105.4 200 0 0 0 0 0 0 0.5 0 0 0 0 0 239.9 1.5 0 0 0 0 0 214.9 750 80.2 80 82.3 80 63.7 
196992416265270 94.1 200 0 0 0 0 0 0 0.3 0 0 0 0 0 491.2 1.1 0 0 0 0 0 490 750 80.2 80 82.3 80 63.7 
196992416265280 94.1 200 0 0 0 0 0 0 0.2 0 0 0 0 0 742.6 0.7 0 0 0 0 0 745.7 750 80.1 80 82.2 80 63.7 
196992416265290 94.1 200 0 0 0 0 0 0 0.1 0 0 0 0 0 748.8 0.5 0 0 0 0 0 749.1 750 80.1 80 82.2 80 63.7 
196992416265300 94.1 200 0 0 0 0 0 0 0.1 0 0 0 0 0 749.1 0.3 0 0 0 0 0 749.6 750 80.1 80 82.2 80 63.7 
196992416265310 94.1 200 0 0 0 0 0 0 0 0 0 0 0 0 749.1 0.2 0 0 0 0 0 749.1 750 80.1 80 82.2 80 63.7 
196992416265320 125.5 200 0 0 0 0 0 0 0 0 0 0 0 0 749.1 0.1 0 0 0 0 0 749.6 750 80.1 80 82.2 80 63.7 
196992416265330 125.5 200 0 0 0 0 0 0 0 0 0 0 0 0 749.3 0 0 0 0 0 0 750 750 80.1 80 82.2 80 63.7 
196992416265340 125.5 200 0 0 0 0 0 0 0 0 0 0 0 0 749.7 0 0 0 0 0 0 749.6 750 80.1 80 82.2 80 64.1 
196992416265350 125.5 200 0 0 0 0 0 0 0 0 0 0 0 0 749.7 0 0 0 0 0 0 750 750 80.1 80 82.2 80 64.1 
196992416265360 125.5 200 0 0 0 0 0 0 0 0 0 0 0 0 749.7 0 0 0 0 0 0 750 750 80.1 80 82.2 80 64.1 
196992416265370 166.6 200 0 0 0 0 0 0 0 0 0 0 0 0 749.7 0 0 0 0 0 0 750 750 80.1 80 82.2 80 64.1 
196992416265380 166.6 200 0 0 0 0 0 0 0 0 0 0 0 0 749.9 0 0 0 0 0 0 749.6 750 80.1 80 82.2 80 64.1 
196992416265390 166.6 200 0 0 0 0 0 0 0 0 0 0 0 0 749.7 0 0 0 0 0 0 749.6 750 80.1 80 82.2 80 64.1 
196992416265400 166.6 200 0 0 0 0 0 0 0 0 0 0 0 0 749.7 0 0 0 0 0 0 749.6 750 80.1 80 82.1 80 64.1 
196992416265410 166.6 200 0 0 0 0 0 0 0 0 0 0 0 0 749.7 0 0 0 0 0 0 750 750 80.1 80 82.1 80 64.1 
196992416265420 185.3 200 0 0 0 0 0 0 0 0 0 0 0 0 749.9 0 0 0 0 0 0 749.6 750 80.1 80 82.1 80 64.1 
196992416265430 185.3 200 0 0 0 0 0 0 0 0 0 0 0 0 749.9 0 0 0 0 0 0 749.6 750 80.1 80 82.1 80 64.1 
196992416265440 185.3 200 0 0 0 0 0 0 0 0 0 0 0 0 749.7 0 0 0 0 0 0 749.6 750 80.1 80 82.1 80 64.3 
196992416265450 185.3 200 0 0 0 0 0 0 0 0 0 0 0 0 749.9 0 0 0 0 0 0 749.6 750 80.1 80 82.1 80 64.3 
196992416265460 185.3 200 0 0 0 0 0 0 0 0 0 0 0 0 749.7 0 0 0 0 0 0 749.6 750 80.1 80 82.1 80 64.3 
196992416265470 196 200 0 0 0 0 0 0 0 0 0 0 0 0 749.7 0 0 0 0 0 0 749.6 750 80.1 80 82.1 80 64.3 
196992416265480 196 200 0 0 0 0 0 0 0 0 0 0 0 0 749.7 0 0 0 0 0 0 749.1 750 80.1 80 82.1 80 64.3 
196992416265490 196 200 0 0 0 0 0 0 0 0 0 0 0 0 749.7 0 0 0 0 0 0 749.6 750 80.1 80 82.1 80 64.3 
196992416265500 196 200 0 0 0 0 0 0 0 0 0 0 0 0 749.7 0 0 0 0 0 0 750 750 80.1 80 82.1 80 64.3 
196992416265510 196 200 0 0 0 0 0 0 0 0 0 0 0 0 749.9 0 0 0 0 0 0 749.6 750 80.2 80 82.1 80 64.3 
196992416265520 203.3 200 0 0 0 0 0 0 0 0 0 0 0 0 749.9 0 0 0 0 0 0 750 750 80.2 80 82.1 80 64.3 
196992416265530 203.3 200 0 0 0 0 0 0 0 0 0 0 0 0 749.7 0 0 0 0 0 0 749.6 750 80.2 80 82.1 80 64.3 
196992416265540 203.3 200 0 0 0 0 0 0 0 0 0 0 0 0 749.9 0 0 0 0 0 0 750 750 80.2 80 82.1 80 63.8 
