date_time v002 v003 v004 v005 v012 v016 v017 v018 v019 v020 v021 v022 v029 v030 v035 v036 v037 v038 v044 v047 v048 v051 v052 v053 v061 v062 v063 v064 v070 v073 v074 v081 v082 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416260150 100 100 1497 1500 201 47 0 200 200 50 25 906 2.4 2.5 0 0 0 0 0 184 184 229.6 230 0 8.5 8.5 0 0 0 0 0 615.9 616 770.3 770 0 0 80.4 80 80.1 80 64.1 
196992416260160 100 100 1496 1500 200 46 0 200 200 50 25 907 2.4 2.5 0 0 0 0 0 183.9 184 229.6 230 0 8.4 8.5 0 0 0 0 0 615.9 616 770.3 770 0 0 80.4 80 80.1 80 64.1 
196992416260170 99.9 100 1497 1500 199 62 1 200 200 25 25 907 2.4 4.7 0 0 0 0 0 184 184 230.1 260 0 8.5 13.3 0 0 0 0 0 615.9 616 769.8 740 0 0 80.4 80 80.1 80 64.1 
196992416260180 99.9 100 1496 1500 200 64 0 200 200 25 25 905 2.4 4.7 0 0 0 0 0 183.9 184 230.1 260 0 8.5 13.3 0 0 0 0 0 615.6 616 769.8 740 0 0 80.4 80 80.1 80 64.1 
196992416260190 99.9 100 1497 1500 200 24 0 200 200 25 25 906 2.4 4.7 0 0 0 0 0 184 184 229.6 260 0 8.4 13.3 0 0 0 0 0 615.6 616 769.8 740 0 0 80.4 80 80.1 80 64.1 
196992416260200 99.9 100 1496 1500 200 18 0 200 200 25 25 904 3.2 4.7 0 0 0 0 0 183.9 208 239.5 260 0 10 13.3 0 0 0 0 0 615.9 592 760 740 0 0 80.4 80 80.1 80 64.1 
196992416260210 99.9 100 1498 1500 200 42 0 200 200 25 25 901 3.9 4.7 0 0 0 0 0 184 208 249.7 260 0 11.6 13.3 0 0 0 0 0 615.9 592 749.7 740 0 0 80.4 80 80.1 80 64.1 
196992416260220 100 100 1498 1500 200 47 0 200 200 25 25 902 4.6 4.7 0 0 0 0 0 183.9 208 259.1 260 0 13.2 13.3 0 0 0 0 0 615.9 592 739.9 740 0 0 80.4 80 80 80 64.1 
196992416260230 100 100 1497 1500 200 41 0 200 200 25 25 902 4.6 4.7 0 0 0 0 0 191.8 208 259.5 260 0 13.3 13.3 0 0 0 0 0 608.2 592 739.5 740 0 0 80.4 80 80 80 64.1 
196992416260240 100 100 1496 1500 200 49 0 200 200 25 25 902 4.7 4.7 0 0 0 0 0 199.8 208 260 260 0 13.3 13.3 0 0 0 0 0 600.2 592 739.9 740 0 0 80.4 80 80 80 63.8 
196992416260250 100 100 1497 1500 200 41 0 200 200 25 25 900 4.6 4.7 0 0 0 0 0 207.9 208 260 260 0 13.3 13.3 0 0 0 0 0 591.9 592 739.1 740 0 0 80.4 80 80 80 63.8 
196992416260260 100 100 1496 1500 200 58 0 200 200 25 25 902 4.6 4.7 0 0 0 0 0 207.9 208 260 260 0 13.3 13.3 0 0 0 0 0 591.6 592 739.5 740 0 0 80.4 80 80 80 63.8 
196992416260270 99.9 100 1495 1500 200 34 0 200 200 25 25 897 4.6 4.7 0 0 0 0 0 207.9 208 259.5 260 0 13.2 13.3 0 0 0 0 0 591.9 592 739.5 740 0 0 80.4 80 80 80 63.8 
196992416260280 99.9 100 1499 1500 200 32 0 200 200 25 25 900 4.6 4.7 0 0 0 0 0 207.9 208 259.5 260 0 13.3 13.3 0 0 0 0 0 591.9 592 739.5 740 0 0 80.4 80 80 80 63.8 
196992416260290 99.9 100 1496 1500 200 27 0 200 200 25 25 899 4.6 4.7 0 0 0 0 0 207.9 208 259.1 260 0 13.3 13.3 0 0 0 0 0 591.9 592 739.5 740 0 0 80.4 80 80 80 63.8 
196992416260300 99.9 100 1496 1500 200 42 0 200 200 25 25 899 4.6 4.7 0 0 0 0 0 207.9 208 259.5 260 0 13.2 13.3 0 0 0 0 0 591.9 592 739.1 740 0 0 80.4 80 80 80 63.8 
196992416260310 99.9 100 1496 1500 200 35 0 200 200 25 25 900 4.6 4.7 0 0 0 0 0 207.9 208 259.1 260 0 13.2 13.3 0 0 0 0 0 592.2 592 739.5 740 0 0 80.4 80 80 80 63.8 
196992416260320 99.6 100 1497 1500 200 38 0 200 200 25 25 898 4.6 4.7 0 0 0 0 0 207.9 208 260 260 0.2 13.3 13.3 0 0 0 0 0 591.9 592 739.1 740 0 0 80.4 80 80 80 63.8 
196992416260330 99.6 100 1497 1500 200 30 0 200 200 25 25 895 4.6 4.7 0 0 0 0 0 207.9 208 259.5 260 0 13.3 13.3 0 0 0 0 0 591.9 592 739.9 740 0 0 80.4 80 80 80 63.8 
196992416260340 99.6 100 1498 1500 200 29 0 200 200 25 25 894 4.6 4.7 0 0 0 0 0 207.9 208 259.5 260 0 13.3 13.3 0 0 0 0 0 591.9 592 739.5 740 0 0 80.4 80 79.9 80 64.1 
196992416260350 99.6 100 1500 1500 200 35 1 200 200 25 25 887 4.6 4.7 0 0 0 0 0 207.9 208 259.5 260 0 13.3 13.3 0 0 0 0 0 591.9 592 739.5 740 0 0 80.4 80 79.9 80 64.1 
196992416260360 99.6 100 1496 1500 200 28 0 200 200 25 25 891 4.6 4.7 0 0 0 0 0 208 208 259.1 260 0 13.3 13.3 0 0 0 0 0 591.6 592 739.1 740 0 0 80.4 80 79.9 80 64.1 
