date_time v002 v003 v004 v005 v012 v016 v017 v018 v019 v020 v021 v022 v029 v030 v035 v036 v037 v038 v044 v047 v048 v051 v052 v053 v061 v062 v063 v064 v070 v073 v074 v081 v082 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416249110 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249120 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80 80 82.4 80 64.9 
196992416249130 20 20 0 0 25 0 87 0 0 0 0 251 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 125.2 125 124.6 125 80 80 82.4 80 64.9 
196992416249140 20 20 0 0 25 0 74 0 0 0 0 298 0 0 0 0 0 0 0 0 0 124.4 125 125 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249150 20 20 0 0 25 0 35 0 0 0 0 400 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249160 20 20 0 0 25 0 40 0 0 0 0 412 0 0 0 0 0 0 0 0 0 124.4 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 125 125 80 80 82.4 80 64.9 
196992416249170 20 20 0 0 25 0 11 0 0 0 0 457 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80 80 82.4 80 64.9 
196992416249180 20 20 0 0 25 0 1 0 0 0 0 479 0 0 0 0 0 0 0 0 0 125.2 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249190 20 20 0 0 25 0 0 0 0 0 0 481 0 0 0 0 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249200 20 20 0 0 25 0 0 0 0 0 0 482 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249210 20 20 0 0 25 0 0 0 0 0 0 482 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 125 125 80 80 82.4 80 64.9 
196992416249220 20 20 0 0 25 0 0 0 0 0 0 483 0 0 0 0 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 125.2 125 124.6 125 80 80 82.4 80 64.9 
196992416249230 20 20 0 0 25 0 0 0 0 0 0 483 0 0 0 0 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 124.8 125 125 125 80 80 82.4 80 64.9 
196992416249240 20 20 0 0 25 0 0 0 0 0 0 483 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 125.2 125 124.6 125 80 80 82.4 80 65.3 
196992416249250 20 20 0 0 25 0 0 0 0 0 0 483 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 125.2 125 125 125 80 80 82.4 80 65.3 
